SideEffect,Disease,Pvalue
hemangiomas,Primary Ovarian Insufficiency,0.007054674
hepatitis infectious,Attention Deficit and Disruptive Behavior Disorders,0.007054674
hepatitis infectious,"Porphyria, Acute Intermittent",0.007054674
hepatitis infectious,Reye Syndrome,0.007054674
hepatitis infectious,Torticollis,0.007054674
hepatitis B,Amyotrophic Lateral Sclerosis,0.007054674
diaphragmatic hernia,Endometrial Neoplasms,0.007054674
histoplasmosis,Leukemia,0.007054674
histoplasmosis,Mycosis Fungoides,0.007054674
hydatidiform mole,Endometrial Neoplasms,0.007054674
oligohidrosis,"Epilepsy, Tonic-Clonic",0.007054674
hypopituitarism,Endometrial Neoplasms,0.007054674
hypovolemic shock,"Pain, Intractable",0.007054674
female infertility,"Spondylitis, Ankylosing",0.007054674
acute lymphoblastic leukemia,"Osteoporosis, Postmenopausal",0.007054674
acute lymphoblastic leukemia,"Paget Disease, Extramammary",0.007054674
myelogenous leukemia,Liver Neoplasms,0.007054674
myelogenous leukemia,Mesothelioma,0.007054674
myelogenous leukemia,Primary Myelofibrosis,0.007054674
Lyme Disease,Anthrax,0.007054674
Lymphatic Disorders,Trichomonas Vaginitis,0.007054674
macular degeneration,Gynecomastia,0.007054674
macular degeneration,"Puberty, Precocious",0.007054674
malabsorption,Dysentery,0.007054674
malabsorption,Typhoid Fever,0.007054674
Meniere disease,Cluster Headache,0.007054674
meningiomas,Endometrial Neoplasms,0.007054674
menstrual flow,Hypoventilation,0.007054674
menstrual flow,"Infertility, Female",0.007054674
menstrual flow,"Menopause, Premature",0.007054674
menstrual flow,Primary Ovarian Insufficiency,0.007054674
motion sickness,"Fatigue Syndrome, Chronic",0.007054674
atypical mycobacterial infection,Graft vs Host Disease,0.007054674
myoglobinuria,Anthrax,0.007054674
nephrosclerosis,"Spondylitis, Ankylosing",0.007054674
obsessive compulsive disorder,Alcoholism,0.007054674
obsessive compulsive disorder,Opioid-Related Disorders,0.007054674
organic brain syndrome,"Stress Disorders, Post-Traumatic",0.007054674
Osteogenesis Imperfecta,"Osteoporosis, Postmenopausal",0.007054674
Osteogenesis Imperfecta,"Paget Disease, Extramammary",0.007054674
osteomalacia,Altitude Sickness,0.007054674
osteomalacia,Restless Legs Syndrome,0.007054674
pancreatic pseudocyst,Graft vs Host Disease,0.007054674
pelvic cellulitis,Brain Neoplasms,0.007054674
parapsoriasis,"Colitis, Ulcerative",0.007054674
Periapical abscess,Anthrax,0.007054674
Periapical abscess,Mycoplasma Infections,0.007054674
Periapical abscess,Rickettsia Infections,0.007054674
periostitis,Anthrax,0.007054674
pituitary tumors,Cluster Headache,0.007054674
postmenopausal bleeding,Amyotrophic Lateral Sclerosis,0.007054674
postmenopausal bleeding,Hyperaldosteronism,0.007054674
postmenopausal bleeding,"Menopause, Premature",0.007054674
postmenopausal bleeding,Primary Ovarian Insufficiency,0.007054674
puncture,Dyspnea,0.007054674
pyloric stenosis,Pyelonephritis,0.007054674
pyloric stenosis,Staphylococcal Skin Infections,0.007054674
quadriplegia,Graft vs Host Disease,0.007054674
Raynauds,Opioid-Related Disorders,0.007054674
Raynauds,"Pain, Intractable",0.007054674
retinitis,Liver Neoplasms,0.007054674
retinitis,Mesothelioma,0.007054674
retroperitoneal fibrosis,Acromegaly,0.007054674
retroperitoneal fibrosis,Infertility,0.007054674
rheumatism,Keratosis,0.007054674
rheumatic carditis,"Kidney Failure, Acute",0.007054674
rheumatic carditis,Pulmonary Edema,0.007054674
rickets,Sarcoma,0.007054674
Kaposi Sarcoma,Leukemia,0.007054674
Kaposi Sarcoma,Sarcoma,0.007054674
Kaposi Sarcoma,Urinary Bladder Neoplasms,0.007054674
scleroderma,"Carcinoma, Squamous Cell",0.007054674
scleroderma,Hypoventilation,0.007054674
spinal cord disease,"Melanoma, Amelanotic",0.007054674
spinal cord disease,"Mesothelioma, Cystic",0.007054674
dysphemia,Endometrial Neoplasms,0.007054674
steatorrhea,"Colitis, Ulcerative",0.007054674
temporal arteritis,Cluster Headache,0.007054674
thalassemia,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",0.007054674
thyrotoxicosis,Goiter,0.007054674
trichomoniasis,"Pneumonia, Pneumocystis",0.007054674
trichomonal vaginitis,"Pneumonia, Pneumocystis",0.007054674
upper GI bleeding,Diabetic Neuropathies,0.007054674
vaginal pruritus,Abdominal Abscess,0.007054674
vaginal pruritus,Dysentery,0.007054674
vaginal pruritus,Hypoventilation,0.007054674
vaginal pruritus,"Menopause, Premature",0.007054674
vaginal pruritus,Primary Ovarian Insufficiency,0.007054674
vaginal pruritus,Typhoid Fever,0.007054674
vitamin D deficiency,"Paget Disease, Extramammary",0.007054674
vulvitis,"Pneumonia, Pneumocystis",0.007054674
alcohol abuse,"Fatigue Syndrome, Chronic",0.007054674
alcohol abuse,Fungemia,0.007054674
alcohol abuse,"Meningitis, Cryptococcal",0.007054674
alcohol abuse,Mental Retardation,0.007054674
Hypogammaglobulinemia,Leukemia,0.007054674
Hypogammaglobulinemia,Mycosis Fungoides,0.007054674
acute cholecystitis,Alcoholism,0.007054674
acute cholecystitis,Opioid-Related Disorders,0.007054674
cervical adenitis,Alcoholism,0.007054674
cervical adenitis,Opioid-Related Disorders,0.007054674
EBV infection,Graft vs Host Disease,0.007054674
vaginal dysplasia,Endometrial Neoplasms,0.007054674
polyarthritis,Actinomycetales Infections,0.007054674
abdominal aortic aneurysm,Cluster Headache,0.007054674
prostatic specific antigen increase,Keratosis,0.007054674
prostatic specific antigen increase,"Puberty, Delayed",0.007054674
fibroadenoma of breast,Endometrial Neoplasms,0.007054674
paraparesis,Neurologic Manifestations,0.007054674
paraparesis,"Respiratory Distress Syndrome, Adult",0.007054674
atrophic vaginitis,Actinomycetales Infections,0.007054674
back stiffness,Alcoholism,0.007054674
back stiffness,Opioid-Related Disorders,0.007054674
nontoxic goiter,"Stress Disorders, Post-Traumatic",0.007054674
wrist pain,Anthrax,0.007054674
wrist pain,"Conjunctivitis, Bacterial",0.007054674
wrist pain,Prostatitis,0.007054674
heat intolerance,Sinoatrial Block,0.007054674
heat intolerance,"Spasms, Infantile",0.007054674
heat intolerance,Uveitis,0.007054674
menometrorrhagia,Hypoventilation,0.007054674
speech disturbance,Cerebral Infarction,0.007054674
speech disturbance,Malignant Hyperthermia,0.007054674
ankle edema,"Myelitis, Transverse",0.007054674
ankle edema,Spinal Cord Ischemia,0.007054674
ankle edema,Spinal Cord Neoplasms,0.007054674
ankle edema,Spondylolysis,0.007054674
colour blindness,Dysentery,0.007054674
colour blindness,"Spasms, Infantile",0.007054674
colour blindness,Typhoid Fever,0.007054674
PIE syndrome,Staphylococcal Skin Infections,0.007054674
atresia,Endometrial Neoplasms,0.007054674
autonomic neuropathy,"Melanoma, Amelanotic",0.007054674
autonomic neuropathy,"Mesothelioma, Cystic",0.007054674
Behavior Problems,"Epilepsy, Tonic-Clonic",0.007054674
autonomic instability,Gastroparesis,0.007054674
autonomic instability,Postoperative Nausea and Vomiting,0.007054674
gangrenous cholecystitis,"Osteoporosis, Postmenopausal",0.007054674
gangrenous cholecystitis,"Paget Disease, Extramammary",0.007054674
night cramps,Anthrax,0.007054674
night cramps,"Conjunctivitis, Bacterial",0.007054674
night cramps,Prostatitis,0.007054674
Seroma,Pyelonephritis,0.007054674
Seroma,Staphylococcal Skin Infections,0.007054674
recurrent urinary tract infections,Endometrial Neoplasms,0.007054674
recurrent urinary tract infections,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",0.007054674
recurrent urinary tract infections,Mycosis Fungoides,0.007054674
recurrent urinary tract infections,Rheumatic Diseases,0.007054674
vulval abscess,Endometrial Neoplasms,0.007054674
perirectal abscess,Alcoholism,0.007054674
perirectal abscess,Opioid-Related Disorders,0.007054674
ulcerative proctitis,Leukemia,0.007054674
ulcerative proctitis,Sarcoma,0.007054674
ulcerative proctitis,Urinary Bladder Neoplasms,0.007054674
Viral Pharyngitis,Pyelonephritis,0.007054674
Viral Pharyngitis,Staphylococcal Skin Infections,0.007054674
dysequilibrium,Alcoholism,0.007054674
dysequilibrium,Diabetic Neuropathies,0.007054674
musculoskeletal deformity,Cluster Headache,0.007054674
pelvic peritonitis,Pyelonephritis,0.007054674
pelvic peritonitis,Staphylococcal Skin Infections,0.007054674
red cell aplasia,Seizures,0.007054674
difficulty in walking,"Infertility, Female",0.007054674
thrombophilia,"Kidney Failure, Acute",0.007054674
thrombophilia,Pulmonary Edema,0.007054674
bladder atony,Leukemia,0.007054674
Smear cervix abnormal,Endometrial Neoplasms,0.007054674
lump,"Endocarditis, Subacute Bacterial",0.007054674
lump,Hypoventilation,0.007054674
toxic goiter,"Stress Disorders, Post-Traumatic",0.007054674
colon cancer,Trichomonas Vaginitis,0.007054674
prematurity,"Ductus Arteriosus, Patent",0.007054674
prematurity,Dysentery,0.007054674
prematurity,Hypoventilation,0.007054674
prematurity,Typhoid Fever,0.007054674
depressive psychosis,Sarcoma,0.007054674
hypospadias,Endometrial Neoplasms,0.007054674
mental deficiency,"Conjunctivitis, Bacterial",0.007054674
mental deficiency,Prostatitis,0.007054674
thrombophlebitis superficial,"Pneumonia, Pneumocystis",0.007054674
bronchospasm,"Meningitis, Bacterial",0.007064834
agranulocytosis,Anxiety Disorders,0.007082249
dysuria,Bacteroides Infections,0.007092623
dysuria,Helicobacter Infections,0.007092623
coma,Panic Disorder,0.007094053
eczema,Panic Disorder,0.007094053
somnolence,"Eye Infections, Bacterial",0.007102601
somnolence,Facial Dermatoses,0.007102601
somnolence,Foot Dermatoses,0.007102601
somnolence,Hand Dermatoses,0.007102601
somnolence,Leg Dermatoses,0.007102601
somnolence,Scalp Dermatoses,0.007102601
ecchymosis,Depressive Disorder,0.007108191
myocarditis,"Leukemia, Myeloid, Acute",0.00711421
myocarditis,Precursor Cell Lymphoblastic Leukemia-Lymphoma,0.00711421
proctitis,Syphilis,0.00711421
sinus tachycardia,"Leukemia, Myeloid, Acute",0.00711421
sinus tachycardia,Pancreatic Neoplasms,0.00711421
sinus tachycardia,Precursor Cell Lymphoblastic Leukemia-Lymphoma,0.00711421
joint stiffness,Cystitis,0.00711421
ischemic colitis,"Carcinoma, Non-Small-Cell Lung",0.00711421
ischemic colitis,Pancreatic Neoplasms,0.00711421
ischemic colitis,Stomach Neoplasms,0.00711421
nightmares,"Tachycardia, Supraventricular",0.007122634
lightheadedness,"Tachycardia, Supraventricular",0.007122634
muscle weakness,Rheumatic Diseases,0.007169747
muscle weakness,"Stress Disorders, Post-Traumatic",0.007169747
seizures,"Glaucoma, Open-Angle",0.007170307
asthenia,Ovarian Neoplasms,0.007173782
weakness,Lung Neoplasms,0.007177474
oral moniliasis,"Skin Diseases, Bacterial",0.00719787
leukopenia,Angina Pectoris,0.007204127
angioedema,Gonorrhea,0.007209122
muscle weakness,Bipolar Disorder,0.007212318
bronchospasm,Diabetic Nephropathies,0.007234866
bronchospasm,"Ventricular Dysfunction, Left",0.007234866
insomnia,"Candidiasis, Cutaneous",0.007247975
confusion,Attention Deficit Disorder with Hyperactivity,0.007276388
pericardial effusion,Breast Neoplasms,0.007285663
bronchospasm,Ventricular Fibrillation,0.0072893
pancytopenia,Gastroesophageal Reflux,0.007294333
angioedema,Haemophilus Infections,0.007301844
hypokalemia,Bipolar Disorder,0.007317096
neuritis,Conjunctivitis,0.007328884
neuritis,Nocardia Infections,0.007328884
neuritis,Thyroid Crisis,0.007328884
rhabdomyolysis,Pulmonary Emphysema,0.007328884
visual field defect,Eating Disorders,0.007328884
visual field defect,Phobic Disorders,0.007328884
confusion,"Diabetes Mellitus, Type 2",0.007331813
arthritis,Autistic Disorder,0.007339969
arthritis,Esophagitis,0.007339969
anisocoria,Depressive Disorder,0.007348804
cerebral embolism,Depressive Disorder,0.007348804
coronary artery disease,Trigeminal Neuralgia,0.007348804
mental depression,Amenorrhea,0.007348804
Epicondylitis,Depressive Disorder,0.007348804
inguinal hernia,Depressive Disorder,0.007348804
hypomenorrhea,Depressive Disorder,0.007348804
hypomagnesemia,Aspergillosis,0.007348804
hypomagnesemia,Cytomegalovirus Retinitis,0.007348804
hypomagnesemia,Esophageal Neoplasms,0.007348804
hypomagnesemia,Osteosarcoma,0.007348804
sinus congestion,Cytomegalovirus Retinitis,0.007348804
sinus congestion,Tobacco Use Disorder,0.007348804
syncope,Myocardial Infarction,0.007352654
hypersensitivity,Nephrotic Syndrome,0.007370126
hypersensitivity,Ovarian Neoplasms,0.007370126
upper respiratory tract infection,Asthma,0.007378778
anaphylaxis,Pain,0.007382364
flatulence,Dysmenorrhea,0.007383519
agranulocytosis,Helicobacter Infections,0.007387058
myopathy,Depressive Disorder,0.007393579
arteritis,"Lymphoma, Non-Hodgkin",0.007417872
balanitis,Acne Vulgaris,0.007417872
myelodysplastic syndrome,"Lymphoma, Non-Hodgkin",0.007417872
periodontitis,Parkinson Disease,0.007417872
prostatitis,Attention Deficit Disorder with Hyperactivity,0.007417872
prostatitis,Parkinson Disease,0.007417872
sleep apnea,Parkinson Disease,0.007417872
somnambulism,Parkinson Disease,0.007417872
testicle pain,Attention Deficit Disorder with Hyperactivity,0.007417872
ureteral obstruction,Hodgkin Disease,0.007417872
lung cancer,Parkinson Disease,0.007417872
sexual dysfunction,Attention Deficit Disorder with Hyperactivity,0.007422053
tendinitis,Parkinson Disease,0.007422053
chest pain substernal,Gastroesophageal Reflux,0.007422053
hernia,Panic Disorder,0.007437615
myositis,Panic Disorder,0.007437615
vulvovaginitis,Breast Neoplasms,0.007437615
phobia,Klebsiella Infections,0.007437615
complete heart block,Hypertension,0.007439091
hypersensitivity,Gram-Positive Bacterial Infections,0.007454019
hypersensitivity,Stomach Ulcer,0.007454019
hearing loss,"Conjunctivitis, Bacterial",0.007466074
hearing loss,Prostatitis,0.007466074
hyponatremia,Ovarian Neoplasms,0.007468084
glycosuria,Hypertension,0.007470345
intestinal ulcer,Pain,0.007482383
atelectasis,Graft vs Host Disease,0.007504506
duodenal ulcer,"Osteoporosis, Postmenopausal",0.007504506
duodenal ulcer,"Paget Disease, Extramammary",0.007504506
fibrosis,Head and Neck Neoplasms,0.007504506
fibrosis,Heartburn,0.007504506
fibrosis,Mycosis Fungoides,0.007504506
periodontal abscess,Anthrax,0.007504506
periodontal abscess,"Spondylitis, Ankylosing",0.007504506
hypopigmentation,Graft vs Host Disease,0.007504506
hypopigmentation,Hematologic Diseases,0.007504506
hypopigmentation,Neoplasms,0.007504506
vomiting,Proteus Infections,0.007512748
hallucinations,Herpes Genitalis,0.007514338
hallucinations,Opioid-Related Disorders,0.007514338
hallucinations,"Pain, Intractable",0.007514338
hallucinations,Pyelonephritis,0.007514338
hallucinations,"Spondylitis, Ankylosing",0.007514338
hallucinations,"Stress Disorders, Post-Traumatic",0.007514338
Stevens - Johnson syndrome,"Epilepsy, Tonic-Clonic",0.007514338
Stevens - Johnson syndrome,"Spondylitis, Ankylosing",0.007514338
bradycardia,"Pain, Intractable",0.007514338
bradycardia,"Stress Disorders, Post-Traumatic",0.007514338
paresthesia,Acne Vulgaris,0.007516262
amenorrhea,Rhabdomyosarcoma,0.007524191
gingivitis,Alzheimer Disease,0.007524191
gingivitis,Psoriasis,0.007524191
nystagmus,Alzheimer Disease,0.007524191
nystagmus,Cystitis,0.007524191
skin ulcer,Alzheimer Disease,0.007524191
skin ulcer,Muscle Spasticity,0.007524191
tooth disorder,Alzheimer Disease,0.007524191
swelling,Gram-Positive Bacterial Infections,0.007534922
spasm,Heart Failure,0.007535652
diplopia,Bursitis,0.007541986
diplopia,Esophagitis,0.007541986
headache,"Pregnancy Complications, Infectious",0.007541986
headache,Status Asthmaticus,0.007541986
headache,Wound Infection,0.007541986
renal failure,Alzheimer Disease,0.00754599
cholecystitis,Hypercholesterolemia,0.007554464
cerebral thrombosis,Escherichia coli Infections,0.007554464
heartburn,"Arthritis, Rheumatoid",0.007578162
paranoia,Depressive Disorder,0.007584501
dysphonia,Depressive Disorder,0.007584501
pleural effusion,Breast Neoplasms,0.00758761
convulsions,Heart Failure,0.00759785
vomiting,Tinea Pedis,0.007601586
enterocolitis,Haemophilus Infections,0.007612342
dry mouth,Soft Tissue Infections,0.007614638
hyperuricemia,Lung Neoplasms,0.007620375
hyperuricemia,Prostatic Neoplasms,0.007620375
adenitis,Panic Disorder,0.007620802
ovarian cyst,Panic Disorder,0.007620802
amylase increased,Sinusitis,0.007620802
drug withdrawal,"Epilepsies, Partial",0.007620802
hypersomnia,"Epilepsies, Partial",0.007620802
weight loss,Attention Deficit Disorder with Hyperactivity,0.00762593
eructation,"Arthritis, Juvenile Rheumatoid",0.007632191
connective tissue disorders,Endometrial Hyperplasia,0.007634254
connective tissue disorders,Uterine Hemorrhage,0.007634254
pleural effusion,Gastrointestinal Neoplasms,0.007634254
ventricular extrasystoles,Phobic Disorders,0.007634254
ventricular extrasystoles,Pulmonary Emphysema,0.007634254
anorexia,Nephrotic Syndrome,0.007643945
pelvic pain,Breast Neoplasms,0.007648101
SIADH,Ovarian Neoplasms,0.007648155
nephropathy,Respiratory Tract Infections,0.007648155
blindness,Lung Neoplasms,0.007648155
hearing loss,Bipolar Disorder,0.00766757
pruritus,Proteus Infections,0.007682403
photosensitivity,"Spondylitis, Ankylosing",0.007696504
weight gain,Hypertension,0.007703711
gynecomastia,Urinary Tract Infections,0.007716988
nasal congestion,Urinary Tract Infections,0.007716988
asthma,Obsessive-Compulsive Disorder,0.007749505
moniliasis,Acinetobacter Infections,0.007770132
moniliasis,Pyelonephritis,0.007770132
moniliasis,"Skin Diseases, Infectious",0.007770132
fibrosis,Lung Neoplasms,0.00778723
venous thrombosis,Ovarian Neoplasms,0.00778723
weight loss,Pancreatic Neoplasms,0.007795219
abuse,Bipolar Disorder,0.007796551
halitosis,Bipolar Disorder,0.007796551
halitosis,Helicobacter Infections,0.007796551
myasthenia gravis,"Skin Diseases, Bacterial",0.007796551
voice alteration,Bipolar Disorder,0.007796551
alopecia,"Skin Diseases, Bacterial",0.007802355
hypopigmentation,Asthma,0.007802748
weight loss,Urinary Tract Infections,0.00781093
dry mouth,"Diabetes Mellitus, Type 2",0.007812044
dry mouth,Respiratory Tract Infections,0.007812044
Pharyngitis,"Epilepsies, Partial",0.007833984
anaphylaxis,"Rhinitis, Allergic, Perennial",0.007837077
musculoskeletal pain,Acquired Immunodeficiency Syndrome,0.007847874
vomiting,Soft Tissue Infections,0.007861251
fungal dermatitis,Lymphoma,0.007864122
fungal dermatitis,Tonsillitis,0.007864122
furunculosis,Autistic Disorder,0.007864122
furunculosis,Dementia,0.007864122
leg pain,Amenorrhea,0.007864122
leg pain,Dementia,0.007864122
liver disease,Aspergillosis,0.007864122
liver disease,Onychomycosis,0.007864122
optic neuritis,Amenorrhea,0.007864122
optic neuritis,Bursitis,0.007864122
optic neuritis,Esophagitis,0.007864122
optic neuritis,Menorrhagia,0.007864122
optic neuritis,Uterine Neoplasms,0.007864122
gastric ulcer,Dementia,0.007864122
gastric ulcer,Tobacco Use Disorder,0.007864122
hyperpigmentation,Polycythemia Vera,0.007864122
hyperpigmentation,Uterine Neoplasms,0.007864122
interstitial pneumonitis,Polycythemia Vera,0.007864122
interstitial pneumonitis,"Purpura, Thrombocytopenic, Idiopathic",0.007864122
interstitial pneumonitis,"Sarcoma, Kaposi",0.007864122
cerebral ischemia,Autistic Disorder,0.007864122
Influenza,Soft Tissue Infections,0.007890674
heartburn,Gout,0.007907437
glaucoma,Panic Disorder,0.007909638
sleep disorder,Panic Disorder,0.007909638
gastrointestinal hemorrhage,Fever,0.007929336
memory loss,Heart Failure,0.007937533
hematemesis,Phobic Disorders,0.007945856
hematemesis,Photophobia,0.007945856
hematemesis,Premenstrual Syndrome,0.007945856
hematemesis,Pulmonary Emphysema,0.007945856
Nasopharyngitis,"Vaginosis, Bacterial",0.007945856
proteinuria,"Arthritis, Gouty",0.007945856
proteinuria,Cellulitis,0.007945856
proteinuria,Epididymitis,0.007945856
proteinuria,Photophobia,0.007945856
proteinuria,Premenstrual Syndrome,0.007945856
hypoxia,Psychomotor Agitation,0.007945856
hypoxia,Pulmonary Emphysema,0.007945856
abnormal gait,Eating Disorders,0.007945856
abnormal gait,Phobic Disorders,0.007945856
fever,Syphilis,0.007978291
fever,Urinary Incontinence,0.007978291
Dyspepsia,Lung Neoplasms,0.007988303
Dyspepsia,Nephrotic Syndrome,0.007988303
pancreatitis,Hypercholesterolemia,0.008000798
albuminuria,Pseudomonas Infections,0.008000805
thrombocytopenia,Bradycardia,0.008008237
thrombocytopenia,Facial Dermatoses,0.008008237
thrombocytopenia,Foot Dermatoses,0.008008237
thrombocytopenia,Hand Dermatoses,0.008008237
thrombocytopenia,Leg Dermatoses,0.008008237
thrombocytopenia,Scalp Dermatoses,0.008008237
contact dermatitis,"Candidiasis, Cutaneous",0.008012577
contact dermatitis,Dysmenorrhea,0.008012577
contact dermatitis,Obsessive-Compulsive Disorder,0.008012577
arthrosis,Zollinger-Ellison Syndrome,0.008012577
peripheral neuropathy,Neuroblastoma,0.008012577
renal papillary necrosis,"Arthritis, Rheumatoid",0.008033876
pericardial effusion,Pancreatic Neoplasms,0.008033876
pericardial effusion,Psoriasis,0.008033876
pericardial effusion,Stomach Neoplasms,0.008033876
retinal artery occlusion,Schizophrenia,0.008033876
Vestibular Disorders,Cystitis,0.008033876
positive ANA,Ventricular Premature Complexes,0.008033876
atopic dermatitis,Pruritus,0.008035414
polyps,"Leukemia, Lymphocytic, Chronic, B-Cell",0.008035414
polyps,Stomach Ulcer,0.008035414
renal colic,Acquired Immunodeficiency Syndrome,0.008035414
fatigue,Soft Tissue Infections,0.008053087
pancytopenia,Pseudomonas Infections,0.008060688
paralysis,Schizophrenia,0.008076696
leukocytosis,"Epilepsy, Tonic-Clonic",0.008082002
leukocytosis,"Stress Disorders, Post-Traumatic",0.008082002
pancytopenia,Bronchitis,0.008082751
hypotension,Angina Pectoris,0.008087408
epistaxis,"Rhinitis, Allergic, Perennial",0.008107022
hallucinations,"Tachycardia, Supraventricular",0.00810992
bradycardia,"Tachycardia, Supraventricular",0.00810992
common cold,Coronary Artery Disease,0.008140079
common cold,Hyperlipoproteinemias,0.008140079
common cold,Hypertriglyceridemia,0.008140079
corneal opacity,"Arthritis, Juvenile Rheumatoid",0.008140079
corneal opacity,Dysmenorrhea,0.008140079
corneal ulcer,Obsessive-Compulsive Disorder,0.008140079
hepatic encephalopathy,Lung Neoplasms,0.008140079
hepatic encephalopathy,Nephrotic Syndrome,0.008140079
hepatic encephalopathy,Ovarian Neoplasms,0.008140079
infertility,"Arthritis, Juvenile Rheumatoid",0.008140079
lacrimation disorder,"Arthritis, Juvenile Rheumatoid",0.008140079
lacrimation disorder,Dysmenorrhea,0.008140079
AML,Lung Neoplasms,0.008140079
lymphedema,Obsessive-Compulsive Disorder,0.008140079
acute leukemia,Lung Neoplasms,0.008140079
acute leukemia,Ovarian Neoplasms,0.008140079
hyperphosphatemia,Obsessive-Compulsive Disorder,0.008140079
iron deficiency anemia,Obsessive-Compulsive Disorder,0.008140079
iron deficiency anemia,Zollinger-Ellison Syndrome,0.008140079
moniliasis,"Bone Diseases, Infectious",0.008143363
diarrhea,Haemophilus Infections,0.008160188
tremor,Cystitis,0.008165575
liver fatty,Schizophrenia,0.00817005
gynecomastia,Prostatic Hyperplasia,0.008170497
vasculitis,Inflammation,0.008180301
nervousness,Acne Vulgaris,0.008190417
stridor,Escherichia coli Infections,0.00819427
constipation,"Eye Infections, Bacterial",0.008200435
constipation,Facial Dermatoses,0.008200435
constipation,Foot Dermatoses,0.008200435
constipation,Hand Dermatoses,0.008200435
constipation,Leg Dermatoses,0.008200435
constipation,Postoperative Complications,0.008200435
constipation,Scalp Dermatoses,0.008200435
constipation,Tuberculosis,0.008200435
ear pain,Panic Disorder,0.008206049
gynecomastia,Panic Disorder,0.008206049
hoarseness,Bronchial Spasm,0.008228169
AV block first degree,Depressive Disorder,0.008228169
hypomagnesemia,Testicular Neoplasms,0.008228169
menstrual irregularity,Depressive Disorder,0.008228169
hypersomnia,Depressive Disorder,0.008228169
oral moniliasis,Bacteroides Infections,0.008228936
ulcerative stomatitis,Helicobacter Infections,0.008228936
ascites,Brain Neoplasms,0.008235088
ascites,Graft vs Host Disease,0.008235088
ascites,Leukemia,0.008235088
ascites,Mycosis Fungoides,0.008235088
ascites,Urinary Bladder Neoplasms,0.008235088
erythema nodosum,Anthrax,0.008235088
erythema nodosum,"Conjunctivitis, Bacterial",0.008235088
erythema nodosum,Prostatitis,0.008235088
erythema nodosum,"Stress Disorders, Post-Traumatic",0.008235088
leukocytoclastic vasculitis,Herpes Genitalis,0.008235088
respiratory arrest,"Conjunctivitis, Bacterial",0.008235088
respiratory arrest,"Pain, Intractable",0.008235088
respiratory arrest,Prostatitis,0.008235088
constipation,Respiratory Tract Infections,0.008236961
flushing,"Hypertension, Malignant",0.008251602
cerebral thrombosis,Staphylococcal Infections,0.008253096
infection,Bronchitis,0.008261205
dysarthria,Bulimia,0.00826369
dysarthria,Colorectal Neoplasms,0.00826369
dysarthria,Endometrial Hyperplasia,0.00826369
dysarthria,"Epilepsy, Complex Partial",0.00826369
dysarthria,"Epilepsy, Temporal Lobe",0.00826369
dysarthria,Phobic Disorders,0.00826369
dysarthria,Uterine Hemorrhage,0.00826369
hot flashes,Endometrial Hyperplasia,0.00826369
hot flashes,Uterine Hemorrhage,0.00826369
aplastic anemia,Fever,0.008267467
pancreatitis,Heart Failure,0.008275193
diplopia,Heart Failure,0.008305444
tooth caries,Parkinson Disease,0.008310722
hypophosphatemia,AIDS-Related Opportunistic Infections,0.008310722
tardive dyskinesia,Attention Deficit Disorder with Hyperactivity,0.008310722
tardive dyskinesia,Vomiting,0.008310722
muscle cramps,Alzheimer Disease,0.008311382
abnormal vision,Alzheimer Disease,0.008311382
abnormal vision,Cystitis,0.008311382
heart failure,"Tachycardia, Ventricular",0.008315466
glossitis,Urinary Tract Infections,0.008323378
urinary tract infection,Obsessive-Compulsive Disorder,0.008324177
anxiety,Diabetic Nephropathies,0.008341862
anxiety,"Ventricular Dysfunction, Left",0.008341862
apnea,Sleep Initiation and Maintenance Disorders,0.008344101
glaucoma,Alzheimer Disease,0.008344101
tumor,Alzheimer Disease,0.008344101
sleep disorder,Alzheimer Disease,0.008344101
sleep disorder,Cystitis,0.008344101
colitis,Osteoarthritis,0.008349294
ecchymosis,"Arthritis, Rheumatoid",0.008349294
hypotension,Tinea Pedis,0.008349506
paresthesia,Hypercholesterolemia,0.008349506
hemorrhage,Sinusitis,0.008370078
ataxia,Schizophrenia,0.008380635
bronchospasm,Osteomyelitis,0.008387118
bronchospasm,"Pain, Postoperative",0.008387118
bronchospasm,Tobacco Use Disorder,0.008387118
blistering,Adrenal Insufficiency,0.008396218
folliculitis,"Dermatitis, Atopic",0.008396218
folliculitis,Tobacco Use Disorder,0.008396218
gum hemorrhage,Autistic Disorder,0.008396218
gum hemorrhage,Tobacco Use Disorder,0.008396218
pericarditis,Polycythemia Vera,0.008396218
blurred vision,Staphylococcal Infections,0.008397368
toxic epidermal necrolysis,Lung Neoplasms,0.008410252
alopecia,Hypercholesterolemia,0.008420676
hypocalcemia,Multiple Myeloma,0.008423678
hypocalcemia,Neutropenia,0.008423678
delirium,"Epilepsies, Partial",0.008431256
breast pain,"Epilepsies, Partial",0.008431256
interstitial nephritis,Chlamydia Infections,0.008431256
fever,"Pneumonia, Bacterial",0.008445885
pneumonia,Haemophilus Infections,0.008460986
dizziness,Diabetic Nephropathies,0.008505592
dizziness,"Ventricular Dysfunction, Left",0.008505592
urinary frequency,"Epilepsies, Partial",0.008515928
cough,Hypertension,0.008518656
tremor,Acne Vulgaris,0.008520259
fever,"Bone Diseases, Infectious",0.008525719
